Thema,Hauptbereich,Verknüpfte Themen,Berufstätigkeit,Diagnose,Demenzstadium,Hilfen,Wohnsituation,Beziehung
Umgang mit Aggressionen,Herausfordernde Situationen,"Selbstfürsorge, Unterstützung für Angehörige",,,"mittel, schwer",,"im gleichen Haushalt, prio, unmittelbare Nähe",Partner:in
Schlafstörungen test,Herausfordernde Situationen,"Selbstfürsorge, Unterstützung für Angehörige",,,"mittel, schwer",,"im gleichen Haushalt, prio, unmittelbare Nähe",Partner:in
Weglaufen,Herausfordernde Situationen,"Selbstfürsorge, Unterstützung für Angehörige",,,"mittel, schwer",,"im gleichen Haushalt, prio, unmittelbare Nähe",Partner:in
Schmerzen,Herausfordernde Situationen,"Selbstfürsorge, Unterstützung für Angehörige",,,"mittel, schwer",,"im gleichen Haushalt, prio, unmittelbare Nähe",Partner:in
Sexualität,Herausfordernde Situationen,"Selbstfürsorge, Unterstützung für Angehörige",,,"mittel, schwer",,"im gleichen Haushalt, prio, unmittelbare Nähe",Partner:in
Körperpflege & Toilette,Pflege,"Schmerzen, Unterstützung für Angehörige",,,"mittel, schwer",privates Umfeld hilft,,
An- und Auskleiden,Pflege,"Schmerzen, Unterstützung für Angehörige",,,"mittel, schwer",privates Umfeld hilft,,
Essen und Trinken,Pflege,"Schmerzen, Unterstützung für Angehörige",,,"mittel, schwer",privates Umfeld hilft,,
Zähneputzen,Pflege,"Schmerzen, Unterstützung für Angehörige",,,"mittel, schwer",privates Umfeld hilft,,
Inkontinenz,Pflege,"Schmerzen, Unterstützung für Angehörige",,,"mittel, schwer",privates Umfeld hilft,,
Angenehme Aktivitäten gestalten,Alltag aktiv gestalten,"Sich verständigen – auch mit Demenz, Unterstützung für Angehörige",ja,,leicht,"prio, privates Umfeld hilft","prio, weiter Weg","Nachkommende Generation, Partner:in, prio"
Wohnanpassung & Hilfsmittel,Alltag aktiv gestalten,"Sich verständigen – auch mit Demenz, Unterstützung für Angehörige",ja,,leicht,"prio, privates Umfeld hilft","prio, weiter Weg","Nachkommende Generation, Partner:in, prio"
Schwierige Gesprächssituationen,Sich verständigen,"Alltag aktiv gestalten, Pflege",,,,,,
Achtsamkeitsübungen,Selbstfürsorge,"Alltag aktiv gestalten, Unterstützung für Angehörige",,,"mittel, schwer",nein,"im gleichen Haushalt, prio",
Abklärung und Diagnose,Krankheitswissen Demenz,Nach der Diagnose,,"Nein, prio",kann ich nicht einschätzen,,,
Autofahren,Nach der Diagnose,"Unterstützung für Angehörige, Vorsorge und Finanzierung",,Nein,kann ich nicht einschätzen,,,
Behandlung,Nach der Diagnose,"Unterstützung für Angehörige, Vorsorge und Finanzierung",,Nein,kann ich nicht einschätzen,,,
Finanzielle Ansprüche,Vorsorge und Finanzierung,,,"Ja, Nein, prio",,,,
Patientenverfügung,Vorsorge und Finanzierung,,,"Ja, Nein, prio",,,,
Urteilsfähigkeit,Vorsorge und Finanzierung,,,"Ja, Nein, prio",,,,
Vorsorgeauftrag,Vorsorge und Finanzierung,,,"Ja, Nein, prio",,,,
Entlastungsangebote,Unterstützung für Angehörige,Selbstfürsorge,"ja, prio",,"mittel, prio, schwer","nein, prio, privates Umfeld hilft",weiter Weg,"Nachkommende Generation, prio"
